Porcentaje de error de revisores,Frecuencia
0.0,82
1.25,40
3.25,29
2.5,25
2.0,24
5.25,13
4.5,13
4.0,11
5.0,8
6.5,7
3.75,6
26.5,6
41.0,6
52.5,6
58.5,5
10.0,5
42.0,5
7.5,5
20.5,5
53.5,5
52.25,5
6.0,5
18.75,5
7.25,5
51.0,4
35.75,4
14.0,4
5.75,4
56.5,4
48.5,4
34.75,4
40.75,4
13.25,4
9.25,4
16.0,4
53.0,4
45.75,4
37.5,4
21.5,4
10.75,4
27.75,4
51.5,4
44.25,4
49.5,4
14.5,4
39.5,4
30.25,4
6.25,4
39.0,4
61.25,3
60.75,3
9.0,3
38.25,3
24.75,3
32.75,3
36.0,3
40.25,3
23.75,3
16.75,3
13.0,3
29.5,3
54.75,3
43.75,3
63.75,3
22.5,3
16.25,3
47.25,3
11.5,3
46.25,3
53.25,3
29.25,3
23.0,3
13.75,3
66.75,3
59.25,3
22.0,3
56.0,3
57.25,3
16.5,3
34.0,3
52.75,3
35.0,3
23.5,3
28.25,3
29.75,3
38.75,3
38.0,3
12.0,3
37.0,3
20.25,3
54.25,3
7.0,3
31.25,3
36.75,3
64.25,2
20.75,2
38.5,2
15.5,2
17.75,2
18.0,2
33.0,2
25.5,2
61.0,2
11.25,2
19.75,2
39.25,2
46.75,2
31.75,2
7.75,2
50.25,2
70.75,2
25.75,2
72.5,2
71.75,2
40.0,2
35.5,2
78.5,2
27.0,2
19.25,2
17.0,2
41.75,2
28.5,2
45.25,2
42.25,2
60.0,2
39.75,2
44.75,2
47.5,2
27.5,2
31.0,2
60.5,2
45.0,2
65.75,2
44.5,2
59.5,2
8.5,2
41.25,2
50.0,2
33.5,2
19.5,2
10.5,2
34.5,2
30.75,2
33.25,2
26.0,2
58.75,2
73.0,2
33.75,2
40.5,2
62.75,2
42.5,2
48.0,2
51.75,2
37.25,2
55.75,2
48.75,2
43.25,1
8.25,1
32.0,1
78.25,1
69.0,1
45.5,1
29.0,1
74.25,1
87.75,1
72.25,1
21.25,1
77.25,1
44.0,1
76.0,1
81.5,1
72.75,1
47.0,1
2.62,1
8.75,1
68.5,1
22.75,1
37.75,1
50.5,1
17.5,1
48.25,1
59.0,1
42.75,1
14.75,1
22.25,1
17.25,1
36.5,1
55.0,1
8.0,1
28.0,1
20.0,1
65.0,1
36.25,1
68.25,1
59.75,1
26.25,1
63.5,1
55.5,1
32.5,1
15.25,1
19.0,1
12.25,1
58.25,1
25.0,1
72.0,1
41.5,1
21.75,1
62.0,1
56.25,1
62.5,1
35.25,1
43.0,1
24.25,1
31.5,1
14.25,1
49.25,1
69.25,1
24.0,1
24.5,1
53.75,1
46.5,1
55.25,1
34.25,1
68.0,1
32.25,1
81.75,1
58.0,1
13.5,1
83.0,1
54.0,1
15.0,1
43.5,1
57.75,1
18.25,1
64.0,1
75.0,1
64.5,1
26.75,1
79.75,1
57.0,1
62.25,1
18.5,1
25.25,1
23.25,1
70.5,1
73.75,1
71.25,1
68.75,1
66.0,1
0.62,1
