seccion,calificacion,cantidad,genero
speak 1,Pre - A1,129,0
speak 1,A1,123,0
speak 1,A2,105,0
speak 1,Pre - A1,112,1
speak 1,A1,121,1
speak 1,A2,124,1
speak 2,Pre - A1,42,0
speak 2,A1,55,0
speak 2,A2,51,0
speak 2,Pre - A1,54,1
speak 2,A1,61,1
speak 2,A2,49,1
reading,Pre - A1,45,0
reading,A1 -,46,0
reading,A1,56,0
reading,A1 +,62,0
reading,A2 -,45,0
reading,A2,55,0
reading,A2 +,43,0
reading,Pre - A1,50,1
reading,A1 -,91,1
reading,A1,105,1
reading,A1 +,114,1
reading,A2 -,93,1
reading,A2,114,1
reading,A2 +,103,1
listening,Pre - A1,40,0
listening,A1 -,45,0
listening,A1,46,0
listening,A1 +,49,0
listening,A2 -,44,0
listening,A2,48,0
listening,A2 +,38,0
listening,Pre - A1,31,1
listening,A1 -,43,1
listening,A1,47,1
listening,A1 +,50,1
listening,A2 -,35,1
listening,A2,47,1
listening,A2 +,57,1
