Escuela,Porcentaje promedio de errores
"EL CHAMIZAL 
 28DPR1427M",38.56
"JULIAN ERNESTO ZAMORA RIVAS 
 28DPR2504H",32.52
"PROF. FRANCISCO NICODEMO 
 28DPR0770R",29.02
"GRAL. EMILIANO ZAPATA 
 28DPR1433X",24.62
"MOCTEZUMA 
 28DPR2452S",22.44
"ENRIQUE C. REBSAMEN 
 28DPR0085Z",20.08
"IGNACIO MANUEL ALTAMIRANO 
 28DPR1515G",13.98
"FELIPE ANGELES 
 28DPR2081R",10.4
"ARTICULO 27 CONSTITUCIONAL 
 28DPR0806P",9.17
"FORD NUM. 16 
 28DPR0754Z",8.44
"MIGUEL HIDALGO 
 28DPR0774N",6.87
"HEROES DE LA INDEPENDENCIA DE MEXICO 
 28DPR2047K",4.67
"FELIPE CARRILLO PUERTO 
 28DPR1403C",3.29
"ARQUIMEDES CABALLERO CABALLERO 
 28DPR2481N",2.67
"RAUL FLORES GARCIA 
 28DPR2381O",1.74
