Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,361,11
speak 1,A1,318,11
speak 1,A2,152,11
speak 2,Pre - A1,348,11
speak 2,A1,326,11
speak 2,A2,157,11
reading,Pre - A1,63,11
reading,A1 -,70,11
reading,A1,143,11
reading,A1 +,116,11
reading,A2 -,139,11
reading,A2,173,11
reading,A2 +,115,11
listening,Pre - A1,24,11
listening,A1 -,105,11
listening,A1,154,11
listening,A1 +,196,11
listening,A2 -,113,11
listening,A2,127,11
listening,A2 +,109,11
speak 1,Pre - A1,55,10
speak 1,A1,45,10
speak 1,A2,21,10
speak 2,Pre - A1,55,10
speak 2,A1,45,10
speak 2,A2,21,10
reading,Pre - A1,10,10
reading,A1 -,15,10
reading,A1,17,10
reading,A1 +,23,10
reading,A2 -,20,10
reading,A2,23,10
reading,A2 +,13,10
listening,Pre - A1,2,10
listening,A1 -,20,10
listening,A1,27,10
listening,A1 +,24,10
listening,A2 -,20,10
listening,A2,13,10
listening,A2 +,15,10
speak 1,Pre - A1,2,13
speak 1,A1,0,13
speak 1,A2,0,13
speak 2,Pre - A1,2,13
speak 2,A1,0,13
speak 2,A2,0,13
reading,Pre - A1,0,13
reading,A1 -,0,13
reading,A1,0,13
reading,A1 +,2,13
reading,A2 -,0,13
reading,A2,0,13
reading,A2 +,0,13
listening,Pre - A1,0,13
listening,A1 -,1,13
listening,A1,1,13
listening,A1 +,0,13
listening,A2 -,0,13
listening,A2,0,13
listening,A2 +,0,13
speak 1,Pre - A1,4,12
speak 1,A1,8,12
speak 1,A2,2,12
speak 2,Pre - A1,4,12
speak 2,A1,7,12
speak 2,A2,3,12
reading,Pre - A1,2,12
reading,A1 -,1,12
reading,A1,4,12
reading,A1 +,1,12
reading,A2 -,1,12
reading,A2,5,12
reading,A2 +,0,12
listening,Pre - A1,0,12
listening,A1 -,5,12
listening,A1,1,12
listening,A1 +,3,12
listening,A2 -,3,12
listening,A2,2,12
listening,A2 +,0,12
