Porcentaje de error de revisores,Frecuencia
0.0,170
1.25,58
2.5,56
2.0,54
3.25,42
4.5,39
4.0,30
3.75,21
6.5,17
5.75,16
5.25,13
5.0,7
8.5,7
11.75,7
7.25,6
9.25,6
11.0,6
11.25,6
7.75,5
39.25,5
20.0,5
6.0,5
16.25,5
15.25,5
17.75,4
12.5,4
10.0,4
8.25,4
40.5,4
26.0,4
55.25,4
31.75,4
0.62,4
13.75,4
8.0,4
42.5,4
7.5,4
14.5,4
9.75,4
37.25,4
25.0,4
35.75,3
42.0,3
22.25,3
26.75,3
24.5,3
54.0,3
7.0,3
27.0,3
34.0,3
26.25,3
16.5,3
13.25,3
45.5,3
35.0,3
33.25,3
16.0,3
50.25,3
18.25,3
36.0,3
49.5,3
9.5,3
26.5,3
50.75,3
10.75,3
42.75,2
2.62,2
74.75,2
59.5,2
70.75,2
62.25,2
80.0,2
51.75,2
65.5,2
17.0,2
69.25,2
71.75,2
66.75,2
69.5,2
41.5,2
34.75,2
13.0,2
21.75,2
72.75,2
46.0,2
36.5,2
57.0,2
6.25,2
20.5,2
73.5,2
30.75,2
61.5,2
64.0,2
33.75,2
33.0,2
19.75,2
10.25,2
12.25,2
10.5,2
48.75,2
15.0,2
33.5,2
27.5,2
31.25,2
29.75,2
38.75,2
41.0,2
39.0,2
62.75,2
42.25,2
55.0,2
19.25,2
59.75,2
18.5,2
22.0,2
32.0,2
87.0,2
23.25,2
56.25,2
46.25,2
44.5,2
12.75,2
21.0,2
32.5,2
40.0,2
53.5,2
18.0,2
56.0,2
25.5,2
44.25,2
68.25,2
15.5,2
47.75,2
28.0,2
60.25,2
23.5,2
27.25,1
43.25,1
45.25,1
61.25,1
17.25,1
64.75,1
78.5,1
31.0,1
89.75,1
53.25,1
15.75,1
78.75,1
47.5,1
82.75,1
24.75,1
77.25,1
72.5,1
59.0,1
77.0,1
67.75,1
41.25,1
70.25,1
19.5,1
28.5,1
49.25,1
14.25,1
23.0,1
55.5,1
60.5,1
58.75,1
38.0,1
52.0,1
37.75,1
35.5,1
19.0,1
63.25,1
23.75,1
22.75,1
47.25,1
41.75,1
25.75,1
36.75,1
34.25,1
30.5,1
76.25,1
92.25,1
63.5,1
11.5,1
71.5,1
81.5,1
9.0,1
77.5,1
24.0,1
20.25,1
51.25,1
39.5,1
17.5,1
21.5,1
85.5,1
48.0,1
3.12,1
54.5,1
66.25,1
65.75,1
49.75,1
20.75,1
82.0,1
84.25,1
52.5,1
54.75,1
62.5,1
1.88,1
66.5,1
12.0,1
8.75,1
63.0,1
80.5,1
43.5,1
84.5,1
38.25,1
27.75,1
55.75,1
21.25,1
57.5,1
79.75,1
31.5,1
89.0,1
75.25,1
46.5,1
50.0,1
91.5,1
74.0,1
72.0,1
81.25,1
91.75,1
