Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,71,11
speak 1,A1,47,11
speak 1,A2,17,11
speak 2,Pre - A1,47,11
speak 2,A1,62,11
speak 2,A2,26,11
reading,Pre - A1,13,11
reading,A1 -,17,11
reading,A1,27,11
reading,A1 +,27,11
reading,A2 -,22,11
reading,A2,21,11
reading,A2 +,8,11
listening,Pre - A1,4,11
listening,A1 -,28,11
listening,A1,46,11
listening,A1 +,17,11
listening,A2 -,15,11
listening,A2,16,11
listening,A2 +,7,11
speak 1,Pre - A1,13,10
speak 1,A1,7,10
speak 1,A2,5,10
speak 2,Pre - A1,12,10
speak 2,A1,7,10
speak 2,A2,6,10
reading,Pre - A1,4,10
reading,A1 -,5,10
reading,A1,4,10
reading,A1 +,7,10
reading,A2 -,1,10
reading,A2,3,10
reading,A2 +,1,10
listening,Pre - A1,1,10
listening,A1 -,8,10
listening,A1,6,10
listening,A1 +,6,10
listening,A2 -,2,10
listening,A2,1,10
listening,A2 +,0,10
speak 1,Pre - A1,0,12
speak 1,A1,1,12
speak 1,A2,0,12
speak 2,Pre - A1,0,12
speak 2,A1,1,12
speak 2,A2,0,12
reading,Pre - A1,0,12
reading,A1 -,0,12
reading,A1,0,12
reading,A1 +,0,12
reading,A2 -,1,12
reading,A2,0,12
reading,A2 +,0,12
listening,Pre - A1,0,12
listening,A1 -,0,12
listening,A1,0,12
listening,A1 +,0,12
listening,A2 -,0,12
listening,A2,0,12
listening,A2 +,1,12
