Porcentaje de error de revisores,Frecuencia
0.0,13
1.25,10
6.0,8
8.0,8
10.0,7
9.25,5
4.0,4
2.0,4
3.25,3
11.25,3
16.0,3
6.5,3
2.5,3
17.75,3
5.25,3
12.0,3
2.62,2
9.75,2
22.5,2
12.25,2
35.5,2
19.0,2
23.75,2
8.5,2
33.0,2
28.0,2
14.25,2
14.0,2
22.0,2
18.0,2
15.25,2
4.5,2
23.25,2
17.25,2
21.25,1
16.62,1
21.5,1
4.38,1
7.75,1
15.88,1
14.75,1
7.25,1
19.12,1
15.75,1
27.0,1
57.25,1
46.5,1
29.75,1
38.25,1
58.5,1
61.75,1
37.5,1
56.25,1
8.62,1
14.5,1
45.75,1
10.62,1
20.75,1
17.0,1
13.0,1
56.75,1
69.5,1
57.5,1
15.0,1
53.75,1
8.25,1
24.25,1
28.25,1
13.25,1
64.0,1
57.0,1
47.5,1
15.5,1
55.25,1
50.75,1
15.12,1
