Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,49,11
speak 1,A1,101,11
speak 1,A2,40,11
speak 2,Pre - A1,45,11
speak 2,A1,102,11
speak 2,A2,43,11
reading,Pre - A1,9,11
reading,A1 -,6,11
reading,A1,29,11
reading,A1 +,28,11
reading,A2 -,48,11
reading,A2,53,11
reading,A2 +,17,11
listening,Pre - A1,9,11
listening,A1 -,20,11
listening,A1,32,11
listening,A1 +,51,11
listening,A2 -,27,11
listening,A2,44,11
listening,A2 +,7,11
speak 1,Pre - A1,16,10
speak 1,A1,16,10
speak 1,A2,6,10
speak 2,Pre - A1,14,10
speak 2,A1,17,10
speak 2,A2,7,10
reading,Pre - A1,0,10
reading,A1 -,1,10
reading,A1,4,10
reading,A1 +,9,10
reading,A2 -,14,10
reading,A2,7,10
reading,A2 +,3,10
listening,Pre - A1,1,10
listening,A1 -,4,10
listening,A1,11,10
listening,A1 +,8,10
listening,A2 -,5,10
listening,A2,6,10
listening,A2 +,2,10
speak 1,Pre - A1,2,12
speak 1,A1,1,12
speak 1,A2,1,12
speak 2,Pre - A1,3,12
speak 2,A1,0,12
speak 2,A2,1,12
reading,Pre - A1,0,12
reading,A1 -,1,12
reading,A1,1,12
reading,A1 +,0,12
reading,A2 -,2,12
reading,A2,0,12
reading,A2 +,0,12
listening,Pre - A1,0,12
listening,A1 -,2,12
listening,A1,1,12
listening,A1 +,0,12
listening,A2 -,0,12
listening,A2,0,12
listening,A2 +,0,12
