Porcentaje de error de revisores,Frecuencia
0.0,17
2.0,10
4.5,6
1.25,6
3.25,5
6.0,5
5.25,4
2.5,4
59.25,4
36.5,3
5.75,3
59.75,3
3.75,3
35.75,3
36.0,3
28.5,3
4.0,3
8.25,2
39.0,2
26.5,2
50.5,2
17.5,2
18.5,2
7.0,2
28.0,2
64.75,2
45.75,2
35.25,2
31.0,2
2.62,2
46.25,2
15.25,2
42.25,2
42.5,2
29.25,2
45.0,2
9.5,2
25.75,2
34.75,2
49.75,2
21.5,2
24.75,1
68.75,1
19.5,1
55.75,1
8.0,1
61.5,1
19.0,1
42.75,1
37.5,1
34.25,1
5.0,1
23.75,1
26.75,1
39.5,1
53.25,1
43.25,1
17.75,1
16.25,1
80.0,1
49.25,1
12.25,1
23.5,1
6.5,1
33.25,1
30.75,1
54.75,1
22.0,1
53.75,1
20.75,1
56.75,1
38.0,1
52.0,1
33.5,1
43.75,1
21.75,1
6.75,1
5.5,1
2.88,1
5.62,1
2.25,1
4.62,1
5.12,1
1.0,1
17.25,1
25.25,1
7.25,1
60.75,1
54.0,1
52.5,1
71.25,1
12.0,1
31.75,1
20.5,1
64.25,1
23.25,1
47.5,1
13.25,1
38.5,1
68.0,1
37.0,1
28.75,1
33.75,1
34.0,1
65.5,1
36.25,1
10.0,1
21.0,1
47.25,1
41.25,1
24.5,1
51.5,1
48.75,1
15.75,1
31.5,1
16.75,1
14.0,1
44.0,1
46.5,1
45.5,1
25.5,1
9.0,1
20.0,1
30.0,1
58.25,1
27.0,1
33.0,1
6.25,1
7.75,1
32.5,1
