Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,71,11
speak 1,A1,58,11
speak 1,A2,1,11
speak 2,Pre - A1,86,11
speak 2,A1,43,11
speak 2,A2,1,11
reading,Pre - A1,2,11
reading,A1 -,10,11
reading,A1,22,11
reading,A1 +,26,11
reading,A2 -,26,11
reading,A2,29,11
reading,A2 +,14,11
listening,Pre - A1,3,11
listening,A1 -,15,11
listening,A1,20,11
listening,A1 +,40,11
listening,A2 -,16,11
listening,A2,21,11
listening,A2 +,15,11
speak 1,Pre - A1,12,10
speak 1,A1,3,10
speak 1,A2,1,10
speak 2,Pre - A1,13,10
speak 2,A1,3,10
speak 2,A2,0,10
reading,Pre - A1,2,10
reading,A1 -,1,10
reading,A1,2,10
reading,A1 +,4,10
reading,A2 -,5,10
reading,A2,1,10
reading,A2 +,1,10
listening,Pre - A1,0,10
listening,A1 -,3,10
listening,A1,2,10
listening,A1 +,3,10
listening,A2 -,3,10
listening,A2,5,10
listening,A2 +,0,10
