Porcentaje de error de revisores,Frecuencia
1.25,12
2.5,10
0.0,9
3.75,4
4.5,4
20.0,3
3.25,3
58.5,3
55.0,2
36.0,2
61.0,2
71.25,2
2.0,2
45.0,2
46.25,2
38.75,2
53.75,2
63.25,1
58.25,1
47.5,1
40.0,1
62.5,1
46.0,1
38.5,1
47.75,1
48.0,1
59.25,1
39.5,1
52.5,1
36.25,1
44.5,1
55.5,1
26.75,1
38.0,1
57.0,1
43.0,1
32.75,1
40.5,1
29.0,1
47.0,1
53.0,1
33.25,1
65.75,1
33.5,1
46.5,1
31.25,1
39.0,1
41.75,1
72.25,1
25.75,1
37.0,1
46.75,1
56.5,1
13.25,1
52.75,1
32.5,1
8.5,1
65.25,1
45.25,1
25.25,1
21.25,1
54.0,1
62.0,1
31.0,1
40.75,1
23.0,1
16.25,1
5.25,1
7.75,1
36.75,1
34.25,1
14.0,1
23.5,1
31.75,1
62.75,1
17.0,1
51.0,1
56.0,1
26.5,1
67.25,1
54.25,1
8.25,1
