seccion,calificacion,cantidad,genero
speak 1,Pre - A1,127,0
speak 1,A1,107,0
speak 1,A2,119,0
speak 1,Pre - A1,110,1
speak 1,A1,117,1
speak 1,A2,126,1
speak 2,Pre - A1,54,0
speak 2,A1,43,0
speak 2,A2,62,0
speak 2,Pre - A1,51,1
speak 2,A1,47,1
speak 2,A2,43,1
reading,Pre - A1,53,0
reading,A1 -,48,0
reading,A1,50,0
reading,A1 +,56,0
reading,A2 -,45,0
reading,A2,64,0
reading,A2 +,47,0
reading,Pre - A1,43,1
reading,A1 -,109,1
reading,A1,118,1
reading,A1 +,129,1
reading,A2 -,136,1
reading,A2,102,1
reading,A2 +,118,1
listening,Pre - A1,54,0
listening,A1 -,49,0
listening,A1,61,0
listening,A1 +,57,0
listening,A2 -,34,0
listening,A2,51,0
listening,A2 +,50,0
listening,Pre - A1,52,1
listening,A1 -,41,1
listening,A1,58,1
listening,A1 +,57,1
listening,A2 -,43,1
listening,A2,51,1
listening,A2 +,54,1
