seccion,calificacion,cantidad,genero
speak 1,Pre - A1,115,0
speak 1,A1,108,0
speak 1,A2,98,0
speak 1,Pre - A1,102,1
speak 1,A1,114,1
speak 1,A2,105,1
speak 2,Pre - A1,43,0
speak 2,A1,47,0
speak 2,A2,40,0
speak 2,Pre - A1,43,1
speak 2,A1,52,1
speak 2,A2,46,1
reading,Pre - A1,50,0
reading,A1 -,44,0
reading,A1,50,0
reading,A1 +,50,0
reading,A2 -,40,0
reading,A2,40,0
reading,A2 +,37,0
reading,Pre - A1,60,1
reading,A1 -,115,1
reading,A1,118,1
reading,A1 +,118,1
reading,A2 -,121,1
reading,A2,107,1
reading,A2 +,123,1
listening,Pre - A1,46,0
listening,A1 -,61,0
listening,A1,44,0
listening,A1 +,54,0
listening,A2 -,44,0
listening,A2,52,0
listening,A2 +,50,0
listening,Pre - A1,47,1
listening,A1 -,46,1
listening,A1,44,1
listening,A1 +,54,1
listening,A2 -,63,1
listening,A2,46,1
listening,A2 +,51,1
