seccion,calificacion,cantidad,genero
speak 1,Pre - A1,119,0
speak 1,A1,114,0
speak 1,A2,112,0
speak 1,Pre - A1,108,1
speak 1,A1,122,1
speak 1,A2,115,1
speak 2,Pre - A1,49,0
speak 2,A1,51,0
speak 2,A2,62,0
speak 2,Pre - A1,41,1
speak 2,A1,45,1
speak 2,A2,50,1
reading,Pre - A1,47,0
reading,A1 -,54,0
reading,A1,48,0
reading,A1 +,54,0
reading,A2 -,39,0
reading,A2,56,0
reading,A2 +,48,0
reading,Pre - A1,46,1
reading,A1 -,130,1
reading,A1,114,1
reading,A1 +,124,1
reading,A2 -,131,1
reading,A2,111,1
reading,A2 +,126,1
listening,Pre - A1,40,0
listening,A1 -,57,0
listening,A1,46,0
listening,A1 +,63,0
listening,A2 -,50,0
listening,A2,57,0
listening,A2 +,55,0
listening,Pre - A1,46,1
listening,A1 -,69,1
listening,A1,48,1
listening,A1 +,51,1
listening,A2 -,57,1
listening,A2,52,1
listening,A2 +,45,1
