seccion,calificacion,cantidad,genero
speak 1,Pre - A1,139,0
speak 1,A1,129,0
speak 1,A2,102,0
speak 1,Pre - A1,129,1
speak 1,A1,132,1
speak 1,A2,109,1
speak 2,Pre - A1,73,0
speak 2,A1,62,0
speak 2,A2,47,0
speak 2,Pre - A1,39,1
speak 2,A1,48,1
speak 2,A2,50,1
reading,Pre - A1,51,0
reading,A1 -,54,0
reading,A1,43,0
reading,A1 +,59,0
reading,A2 -,53,0
reading,A2,51,0
reading,A2 +,60,0
reading,Pre - A1,50,1
reading,A1 -,125,1
reading,A1,120,1
reading,A1 +,105,1
reading,A2 -,107,1
reading,A2,127,1
reading,A2 +,116,1
listening,Pre - A1,46,0
listening,A1 -,51,0
listening,A1,46,0
listening,A1 +,55,0
listening,A2 -,43,0
listening,A2,51,0
listening,A2 +,58,0
listening,Pre - A1,52,1
listening,A1 -,57,1
listening,A1,50,1
listening,A1 +,54,1
listening,A2 -,50,1
listening,A2,37,1
listening,A2 +,50,1
