seccion,calificacion,cantidad,genero
speak 1,Pre - A1,162,0
speak 1,A1,70,0
speak 1,A2,29,0
speak 1,Pre - A1,148,1
speak 1,A1,74,1
speak 1,A2,39,1
speak 2,Pre - A1,24,0
speak 2,A1,37,0
speak 2,A2,44,0
speak 2,Pre - A1,44,1
speak 2,A1,39,1
speak 2,A2,37,1
reading,Pre - A1,31,0
reading,A1 -,11,0
reading,A1,59,0
reading,A1 +,63,0
reading,A2 -,48,0
reading,A2,28,0
reading,A2 +,28,0
reading,Pre - A1,20,1
reading,A1 -,130,1
reading,A1,81,1
reading,A1 +,29,1
reading,A2 -,120,1
reading,A2,87,1
reading,A2 +,33,1
listening,Pre - A1,20,0
listening,A1 -,21,0
listening,A1,40,0
listening,A1 +,42,0
listening,A2 -,39,0
listening,A2,53,0
listening,A2 +,24,0
listening,Pre - A1,5,1
listening,A1 -,46,1
listening,A1,67,1
listening,A1 +,47,1
listening,A2 -,25,1
listening,A2,38,1
listening,A2 +,11,1
