seccion,calificacion,cantidad,edad
speak 1,Pre - A1,507,11
speak 1,A1,356,11
speak 1,A2,166,11
speak 2,Pre - A1,513,11
speak 2,A1,367,11
speak 2,A2,149,11
reading,Pre - A1,64,11
reading,A1 -,83,11
reading,A1,169,11
reading,A1 +,173,11
reading,A2 -,221,11
reading,A2,208,11
reading,A2 +,108,11
listening,Pre - A1,13,11
listening,A1 -,120,11
listening,A1,226,11
listening,A1 +,284,11
listening,A2 -,141,11
listening,A2,156,11
listening,A2 +,87,11
speak 1,Pre - A1,74,10
speak 1,A1,58,10
speak 1,A2,28,10
speak 2,Pre - A1,71,10
speak 2,A1,63,10
speak 2,A2,26,10
reading,Pre - A1,8,10
reading,A1 -,8,10
reading,A1,31,10
reading,A1 +,25,10
reading,A2 -,35,10
reading,A2,29,10
reading,A2 +,24,10
listening,Pre - A1,3,10
listening,A1 -,20,10
listening,A1,37,10
listening,A1 +,50,10
listening,A2 -,20,10
listening,A2,17,10
listening,A2 +,12,10
speak 1,Pre - A1,10,12
speak 1,A1,7,12
speak 1,A2,2,12
speak 2,Pre - A1,9,12
speak 2,A1,9,12
speak 2,A2,1,12
reading,Pre - A1,3,12
reading,A1 -,0,12
reading,A1,3,12
reading,A1 +,4,12
reading,A2 -,4,12
reading,A2,2,12
reading,A2 +,3,12
listening,Pre - A1,1,12
listening,A1 -,1,12
listening,A1,5,12
listening,A1 +,4,12
listening,A2 -,5,12
listening,A2,2,12
listening,A2 +,1,12
