Porcentaje de error de revisores,Frecuencia
0.0,159
1.25,77
2.0,77
2.5,53
3.25,44
4.5,31
3.75,28
4.0,27
5.25,20
6.0,10
3.0,10
1.0,9
5.0,9
6.5,9
5.75,7
7.75,6
6.25,6
8.0,6
36.0,5
20.0,5
58.5,5
46.25,5
59.25,5
7.25,5
71.25,4
53.25,4
48.0,4
52.5,4
25.75,4
28.0,4
2.62,4
9.5,4
26.5,4
45.0,4
31.0,4
9.25,4
8.25,4
10.0,4
7.0,4
39.0,3
39.5,3
1.88,3
33.0,3
37.0,3
43.75,3
33.25,3
14.5,3
53.75,3
23.5,3
38.0,3
14.0,3
57.25,3
30.0,3
17.5,3
56.75,3
35.75,3
8.5,3
66.0,3
64.75,3
28.5,3
48.75,3
45.75,3
3.5,3
36.5,3
54.0,3
33.5,3
55.0,3
58.25,3
59.75,3
47.5,3
5.5,2
13.75,2
32.75,2
56.0,2
47.25,2
9.0,2
46.75,2
7.5,2
45.25,2
34.75,2
56.5,2
20.75,2
35.25,2
38.75,2
32.5,2
46.5,2
13.25,2
29.0,2
20.25,2
47.0,2
38.5,2
26.75,2
47.75,2
61.0,2
63.25,2
23.25,2
34.25,2
17.0,2
46.0,2
72.25,2
57.75,2
19.25,2
11.75,2
40.75,2
31.75,2
51.0,2
25.25,2
36.25,2
45.5,2
62.75,2
12.0,2
21.5,2
15.25,2
68.0,2
5.62,2
42.5,2
56.25,2
76.5,2
18.5,2
63.0,2
50.5,2
19.0,2
12.5,2
22.5,2
25.5,2
55.75,2
42.75,2
16.25,2
49.75,2
61.5,2
44.0,2
59.0,2
54.75,2
2.25,2
52.0,2
20.5,2
30.25,2
43.25,2
17.75,2
51.25,2
49.25,2
29.25,2
23.75,2
5.12,2
17.25,2
0.62,2
42.25,2
4.62,2
58.0,1
49.0,1
26.0,1
40.0,1
43.0,1
11.0,1
6.62,1
75.25,1
35.5,1
62.5,1
15.0,1
10.75,1
53.0,1
55.5,1
44.5,1
41.75,1
31.25,1
65.75,1
18.75,1
40.5,1
61.75,1
22.0,1
58.75,1
22.25,1
50.0,1
60.75,1
23.0,1
21.75,1
57.0,1
68.75,1
43.5,1
19.5,1
59.5,1
66.75,1
37.5,1
30.75,1
24.75,1
50.75,1
22.75,1
48.25,1
80.0,1
72.5,1
44.25,1
12.25,1
63.75,1
67.25,1
16.5,1
54.25,1
24.5,1
61.25,1
34.0,1
62.25,1
37.25,1
65.5,1
14.75,1
52.25,1
27.0,1
41.25,1
4.75,1
10.5,1
13.0,1
1.62,1
17.62,1
9.38,1
13.5,1
15.75,1
4.25,1
28.75,1
60.5,1
33.75,1
21.0,1
6.75,1
64.25,1
18.25,1
21.25,1
52.75,1
65.25,1
62.0,1
3.12,1
36.75,1
15.5,1
73.5,1
2.88,1
71.5,1
51.5,1
51.75,1
69.5,1
32.0,1
16.75,1
31.5,1
60.0,1
11.25,1
9.75,1
