Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,344,11
speak 1,A1,554,11
speak 1,A2,207,11
speak 2,Pre - A1,340,11
speak 2,A1,572,11
speak 2,A2,193,11
reading,Pre - A1,70,11
reading,A1 -,92,11
reading,A1,185,11
reading,A1 +,192,11
reading,A2 -,236,11
reading,A2,217,11
reading,A2 +,110,11
listening,Pre - A1,16,11
listening,A1 -,136,11
listening,A1,255,11
listening,A1 +,302,11
listening,A2 -,145,11
listening,A2,162,11
listening,A2 +,87,11
speak 1,Pre - A1,55,10
speak 1,A1,80,10
speak 1,A2,35,10
speak 2,Pre - A1,51,10
speak 2,A1,88,10
speak 2,A2,31,10
reading,Pre - A1,10,10
reading,A1 -,8,10
reading,A1,33,10
reading,A1 +,28,10
reading,A2 -,37,10
reading,A2,30,10
reading,A2 +,24,10
listening,Pre - A1,4,10
listening,A1 -,23,10
listening,A1,38,10
listening,A1 +,52,10
listening,A2 -,20,10
listening,A2,20,10
listening,A2 +,12,10
speak 1,Pre - A1,8,12
speak 1,A1,10,12
speak 1,A2,2,12
speak 2,Pre - A1,9,12
speak 2,A1,9,12
speak 2,A2,2,12
reading,Pre - A1,3,12
reading,A1 -,0,12
reading,A1,4,12
reading,A1 +,4,12
reading,A2 -,4,12
reading,A2,2,12
reading,A2 +,3,12
listening,Pre - A1,1,12
listening,A1 -,1,12
listening,A1,6,12
listening,A1 +,4,12
listening,A2 -,5,12
listening,A2,2,12
listening,A2 +,1,12
