Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking
1,PROF. SANTOS GUZMAN TREVIÑO - 28DPR0694B,82.27,90.57627118644068,92.25,65.68,62.29,63.98,A2 +,A2 +,A2,A2,A2,23,37,5,5,5
2,ENRIQUE C. REBSAMEN - 28DPR0085Z,78.37,79.26530612244898,85.82,70.15,69.9,70.03,A2,A2,A2,A2,A2,20,34,6,6,6
3,MODELO - 28DPR0477N,73.79,75.6043956043956,78.93,66.48,67.17,66.83,A2 -,A2 -,A2,A2,A2,19,32,5,5,5
4,CLUB ROTARIO MATAMOROS NUM. 84 - 28DPR2410T,71.6,67.77777777777777,78.15,66.67,71.06,68.87,A2 -,A2 -,A2,A2,A2,17,31,5,6,6
5,PROF. FRANCISCO NICODEMO - 28DPR0770R,71.06,74.82828282828282,82.42,56.82,55.05,55.93,A2 -,A2 -,A2,A1,A1,19,33,5,4,4
6,NACIONES UNIDAS - 28DPR1879O,70.96,74.61538461538461,76.01,62.5,62.02,62.26,A2 -,A1 +,A2,A2,A2,19,30,5,5,5
7,GRAL. LAZARO CARDENAS DEL RIO - 28DPR1283G,70.62,80.63414634146342,84.36,51.98,41.77,46.88,A2,A2,A1,A1,A1,20,34,4,3,4
8,NACIONES UNIDAS - 28DPR1892I,69.11,75.28888888888889,78.0,56.67,51.39,54.03,A2 -,A2 -,A2,A1,A1,19,31,5,4,4
9,MIGUEL HIDALGO - 28DPR0774N,66.19,69.26315789473684,75.2,52.96,55.26,54.11,A2 -,A1 +,A1,A1,A1,17,30,4,4,4
10,CORLA MA. DE JESUS DE LA ROSA - 28DPR1372Z,66.12,78.58823529411765,95.15,22.79,26.47,24.63,A2,A2 +,A1,A1,A1,20,38,2,2,2
11,IGNACIO MANUEL ALTAMIRANO - 28DPR1515G,65.04,76.11764705882354,74.41,49.26,39.89,44.58,A2 -,A1 +,A1,A1,A1,19,30,4,3,4
12,ORALIA GUERRA DE VILLARREAL - 28DPR2173H,65.02,57.30434782608695,75.11,63.86,61.41,62.64,A1 +,A1 +,A2,A2,A2,14,30,5,5,5
13,CARLOS A. CARRILLO - 28DPR1826J,64.17,74.72727272727273,76.31,39.35,43.61,41.48,A2 -,A2 -,A1,A1,A1,19,31,3,3,3
14,NIÑOS HEROES - 28DPR1492M,63.35,74.78260869565217,55.76,60.33,58.7,59.51,A2 -,A1,A2,A2,A2,19,22,5,5,5
15,FELIPE CARRILLO PUERTO - 28DPR1403C,63.27,70.82352941176471,70.68,47.94,48.68,48.31,A2 -,A1 +,A1,A1,A1,18,28,4,4,4
16,CUAUHTEMOC - 28DPR0461M,62.93,65.42857142857143,65.48,61.31,54.46,57.89,A1 +,A1 +,A2,A1,A2,16,26,5,4,5
17,PROFA. EMMA PEREZ IBARRA - 28DPR2415O,62.55,70.61111111111111,68.61,47.4,49.48,48.44,A2 -,A1 +,A1,A1,A1,18,27,4,4,4
18,PLUTARCO ELIAS CALLES - 28DPR2005L,62.44,67.52941176470588,58.68,61.4,60.85,61.12,A2 -,A1,A2,A2,A2,17,23,5,5,5
19,JOSEFINA MENCHACA - 28DPR0489S,59.68,56.89999999999999,67.06,50.78,59.38,55.08,A1 +,A1 +,A1,A2,A1,14,27,4,5,4
20,PROF. COSME PEREZ NUM. 2 - 28DPR0787R,59.2,79.0,90.0,8.85,8.33,8.59,A2,A2,A1,A1,A1,20,36,1,1,1
21,MIGUEL HIDALGO - 28DPR0829Z,59.07,67.86206896551724,69.91,32.76,46.12,39.44,A2 -,A1 +,A1,A1,A1,17,28,3,4,3
22,FORD NUM. 16 - 28DPR0754Z,58.22,59.333333333333336,62.55,52.78,52.78,52.78,A1 +,A1 +,A1,A1,A1,15,25,4,4,4
23,PROF. ALONSO BRICEÑO ROSALES - 28DPR2363Z,57.5,72.28571428571429,67.5,33.93,31.47,32.7,A2 -,A1 +,A1,A1,A1,18,27,3,3,3
24,PROF. CRUZ LINO MARQUEZ - 28DPR2300N,56.57,61.27659574468085,75.05,35.9,30.85,33.38,A1 +,A1 +,A1,A1,A1,15,30,3,2,3
25,PROF. CECILIO JESUS CASTILLO CASTILLO - 28DPR2439Y,55.74,65.03448275862068,60.82,39.66,43.1,41.38,A1 +,A1,A1,A1,A1,16,24,3,3,3
26,RAUL FLORES GARCIA - 28DPR2381O,55.43,64.03960396039604,69.53,32.3,33.17,32.74,A1 +,A1 +,A1,A1,A1,16,28,3,3,3
27,LEYES DE REFORMA - 28DPR1360V,54.49,54.400000000000006,62.39,44.17,49.17,46.67,A1 +,A1 +,A1,A1,A1,14,25,4,4,4
28,MAGDALENO AGUILAR - 28DPR0979G,53.24,54.564102564102555,60.45,45.51,43.91,44.71,A1 +,A1,A1,A1,A1,14,24,4,4,4
29,TAMAULIPAS - 28DPR0636L,52.84,73.63265306122449,66.89,10.2,25.77,17.98,A2 -,A1 +,A1,A1,A1,18,27,1,2,1
30,ARQUIMEDES CABALLERO CABALLERO - 28DPR2481N,52.7,59.411764705882355,68.92,30.02,29.53,29.78,A1 +,A1 +,A1,A1,A1,15,28,2,2,2
31,EL CHAMIZAL - 28DPR1427M,52.67,62.13953488372093,65.64,30.52,29.94,30.23,A1 +,A1 +,A1,A1,A1,16,26,2,2,2
32,MOCTEZUMA - 28DPR2452S,51.7,78.79069767441861,74.56,1.74,1.74,1.74,A2,A1 +,Pre - A1,Pre - A1,Pre - A1,20,30,0,0,0
