CCT,correct_answers_listening,correct_answers_reading_writing,correct_answers_speaking_part_1,correct_answers_speaking_part_2,correct_answers_speaking,reviewer_answers_listening,reviewer_answers_reading_writing,reviewer_answers_speaking_part_1,reviewer_answers_speaking_part_2,qualification_speaking_part_1,qualification_speaking_part_2,qualification_speaking,qualification_listening,qualification_reading,percentage_correct_listening,percentage_correct_reading_writing,percentage_correct_speaking_part_1,percentage_correct_speaking_part_2,percentage_correct_speaking,percentage_correct,Top
FELIPE CARRILLO PUERTO - 28DPR1403C,18,29,3,3,3,18,29,4,4,1,1,1,4,3,72.0,72.5,37.5,37.5,37.5,60.666666666666664,1
FORD NUM. 16 - 28DPR0754Z,16,26,4,4,4,16,25,4,4,1,1,1,3,3,64.0,65.0,50.0,50.0,50.0,59.666666666666664,2
MIGUEL HIDALGO - 28DPR0774N,15,29,4,3,3,15,26,4,3,1,1,1,3,3,60.0,72.5,50.0,37.5,43.75,58.75,3
MIGUEL HIDALGO - 28DPR0829Z,16,27,3,4,3,15,20,3,4,1,1,1,3,3,64.0,67.5,37.5,50.0,43.75,58.416666666666664,4
RAUL FLORES GARCIA - 28DPR2381O,15,26,3,3,3,15,25,3,3,1,1,1,3,3,60.0,65.0,37.5,37.5,37.5,54.166666666666664,5
EL CHAMIZAL - 28DPR1427M,17,26,2,2,2,7,9,3,3,1,1,1,4,3,68.0,65.0,25.0,25.0,25.0,52.666666666666664,6
MOCTEZUMA - 28DPR2452S,20,30,0,0,0,19,27,0,0,0,0,0,5,3,80.0,75.0,0.0,0.0,0.0,51.666666666666664,7
GRAL. EMILIANO ZAPATA - 28DPR1433X,15,22,2,2,2,11,14,2,2,1,1,1,3,2,60.0,55.00000000000001,25.0,25.0,25.0,46.666666666666664,8
ALBERTO CARRERA TORRES - 28DPR2064A,14,20,2,2,2,19,20,3,3,1,1,1,3,2,56.00000000000001,50.0,25.0,25.0,25.0,43.666666666666664,9
MARGARITA MAZA DE JUAREZ - 28DPR1505Z,11,21,1,2,2,12,17,2,3,1,1,1,2,2,44.0,52.5,12.5,25.0,18.75,38.416666666666664,10
MAGDALENO AGUILAR - 28DPR0979G,14,12,3,1,2,15,12,4,3,1,1,1,3,1,56.00000000000001,30.0,37.5,12.5,25.0,37.0,11
ARTICULO 27 CONSTITUCIONAL - 28DPR0806P,12,20,0,0,0,15,19,0,0,0,0,0,2,2,48.0,50.0,0.0,0.0,0.0,32.666666666666664,12
FELIPE ANGELES - 28DPR2081R,9,16,0,0,0,9,14,0,0,0,0,0,1,1,36.0,40.0,0.0,0.0,0.0,25.333333333333332,13
