Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,647,Masculino
speak 1,A1,756,Masculino
speak 1,A2,336,Masculino
speak 2,Pre - A1,613,Masculino
speak 2,A1,775,Masculino
speak 2,A2,351,Masculino
reading,Pre - A1,147,Masculino
reading,A1 -,161,Masculino
reading,A1,288,Masculino
reading,A1 +,274,Masculino
reading,A2 -,313,Masculino
reading,A2,352,Masculino
reading,A2 +,181,Masculino
listening,Pre - A1,70,Masculino
listening,A1 -,266,Masculino
listening,A1,358,Masculino
listening,A1 +,395,Masculino
listening,A2 -,214,Masculino
listening,A2,224,Masculino
listening,A2 +,195,Masculino
speak 1,Pre - A1,529,Femenino
speak 1,A1,777,Femenino
speak 1,A2,402,Femenino
speak 2,Pre - A1,486,Femenino
speak 2,A1,835,Femenino
speak 2,A2,387,Femenino
reading,Pre - A1,110,Femenino
reading,A1 -,120,Femenino
reading,A1,266,Femenino
reading,A1 +,276,Femenino
reading,A2 -,306,Femenino
reading,A2,391,Femenino
reading,A2 +,228,Femenino
listening,Pre - A1,23,Femenino
listening,A1 -,170,Femenino
listening,A1,348,Femenino
listening,A1 +,424,Femenino
listening,A2 -,260,Femenino
listening,A2,260,Femenino
listening,A2 +,216,Femenino
