Porcentaje de error de revisores,Frecuencia
0.0,480
1.25,206
2.0,176
3.25,123
2.5,120
4.5,75
4.0,74
5.25,58
3.75,44
6.5,40
6.0,35
5.0,32
5.75,30
7.25,28
9.25,24
10.0,24
8.0,24
8.5,20
11.25,18
12.0,16
7.75,16
14.5,16
8.25,15
7.0,15
7.5,15
15.25,15
6.25,14
13.25,14
26.5,14
13.75,13
17.75,13
31.75,12
16.0,12
2.25,12
23.75,12
41.0,12
9.75,12
12.5,12
0.62,11
40.5,11
17.25,11
22.5,11
20.5,11
42.25,11
10.5,11
22.0,10
11.75,10
16.5,10
53.5,10
31.25,10
1.0,10
14.0,10
33.0,10
56.0,10
44.25,10
17.0,10
34.75,10
16.25,10
27.0,9
20.25,9
55.25,9
42.0,9
54.75,9
35.75,9
26.0,9
20.0,9
48.75,9
15.5,9
10.75,9
37.25,9
42.5,9
18.5,9
50.25,8
18.0,8
47.5,8
38.25,8
58.5,8
2.62,8
35.0,8
19.75,8
37.5,8
44.5,8
19.25,8
18.25,8
12.25,8
49.5,8
23.0,8
25.0,8
37.0,8
11.0,8
21.25,8
29.75,8
34.0,8
28.0,8
21.5,8
29.25,7
35.5,7
13.0,7
57.25,7
37.75,7
23.25,7
38.0,7
41.25,7
63.75,7
46.25,7
33.5,7
52.5,7
39.25,7
33.75,7
39.0,7
23.5,7
39.75,7
50.0,7
66.75,7
33.25,7
39.5,7
30.25,7
61.0,7
9.5,6
26.25,6
30.75,6
48.5,6
31.0,6
4.25,6
59.75,6
9.0,6
56.5,6
54.25,6
18.75,6
53.25,6
41.5,6
36.5,6
62.75,6
27.75,6
3.5,6
15.75,6
28.25,6
11.5,6
69.5,6
32.25,6
61.25,6
57.0,6
55.5,6
36.0,6
25.75,6
45.75,6
24.0,6
49.25,6
38.75,6
59.5,5
29.5,5
40.75,5
65.75,5
53.75,5
44.0,5
40.0,5
21.0,5
59.25,5
60.5,5
45.25,5
19.0,5
54.0,5
45.5,5
24.5,5
26.75,5
25.5,5
50.75,5
42.75,5
32.0,5
27.5,5
12.75,5
53.0,5
36.75,5
32.5,5
47.75,5
47.25,5
64.0,5
22.25,5
46.0,5
52.75,5
61.75,5
52.25,5
24.75,5
40.25,5
56.25,5
59.0,5
51.5,5
28.5,5
14.25,4
51.25,4
16.75,4
68.25,4
10.25,4
66.25,4
43.0,4
3.62,4
20.75,4
57.5,4
3.0,4
67.25,4
58.75,4
56.75,4
44.75,4
47.0,4
15.0,4
14.75,4
68.75,4
55.75,4
43.75,4
62.5,4
32.75,4
71.75,4
45.0,4
69.25,4
80.5,4
17.5,4
51.0,4
43.5,4
51.75,4
70.75,4
46.5,4
43.25,4
68.5,4
72.75,4
78.5,3
60.25,3
27.25,3
19.5,3
64.25,3
52.0,3
77.25,3
54.5,3
22.75,3
24.25,3
41.75,3
34.25,3
55.0,3
48.0,3
36.25,3
50.5,3
21.75,3
74.75,3
62.25,3
63.0,3
8.75,3
48.25,3
72.5,3
5.5,3
66.0,3
57.75,3
1.62,3
5.62,3
6.88,3
70.0,3
60.75,3
46.75,3
75.25,3
13.5,3
64.5,3
34.5,3
29.0,3
38.5,3
31.5,3
73.0,2
89.0,2
71.0,2
81.5,2
8.62,2
82.0,2
73.5,2
65.25,2
60.0,2
63.5,2
80.0,2
64.75,2
4.38,2
65.5,2
35.25,2
61.5,2
4.62,2
72.0,2
3.12,2
71.5,2
79.75,2
78.75,2
87.0,2
74.0,2
4.75,2
70.25,2
58.25,2
70.5,2
83.25,2
1.88,2
77.0,2
65.0,1
72.25,1
2.88,1
81.75,1
19.12,1
16.62,1
15.88,1
15.12,1
49.75,1
10.12,1
6.62,1
89.75,1
77.5,1
91.5,1
87.75,1
74.25,1
78.25,1
79.25,1
66.5,1
81.25,1
84.5,1
69.0,1
10.38,1
5.12,1
3.88,1
8.38,1
30.5,1
76.25,1
76.75,1
63.25,1
6.75,1
85.5,1
67.75,1
82.75,1
91.75,1
58.0,1
68.0,1
73.75,1
71.25,1
25.25,1
83.0,1
75.0,1
82.5,1
94.25,1
30.0,1
67.0,1
69.75,1
91.0,1
85.0,1
75.75,1
84.25,1
10.62,1
76.0,1
92.25,1
25.88,1
6.38,1
62.0,1
