Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking
1,ARTICULO 3 CONSTITUCIONAL - 28DPR2045M,80.07,80.20338983050847,85.34,75.0,74.36,74.68,A2,A2,A2,A2,A2,20,34,6,6,6
2,EMILIANO ZAPATA - 28DPR1412K,71.29,78.74074074074075,71.81,66.9,59.72,63.31,A2,A1 +,A2,A2,A2,20,29,5,5,5
3,ARMANDO BARBA - 28DPR1343E,70.05,80.42424242424242,73.48,57.58,54.92,56.25,A2,A1 +,A2,A1,A1,20,29,5,4,4
4,PROFA. MA. GUADALUPE GARCIA GARCIA - 28DPR0283Z,67.53,76.27586206896552,79.97,41.81,50.86,46.34,A2 -,A2 -,A1,A1,A1,19,32,3,4,4
5,PROFA. MARIA GUADALUPE JAIME GARZA - 28DPR2422Y,64.89,74.80597014925372,75.75,46.64,41.6,44.12,A2 -,A1 +,A1,A1,A1,19,30,4,3,4
6,PROFA. AURELIA GARCIA RODRIGUEZ - 28DPR1332Z,64.42,73.76470588235294,76.47,44.3,41.73,43.01,A2 -,A2 -,A1,A1,A1,18,31,4,3,3
7,GERARDO GOMEZ CASTILLO - 28DPR1414I,63.72,68.47058823529412,73.06,51.76,47.5,49.63,A2 -,A1 +,A1,A1,A1,17,29,4,4,4
8,PROF. JUAN CAMACHO CERVANTES - 28DPR1400F,62.21,64.22222222222223,65.67,57.08,56.39,56.74,A1 +,A1 +,A2,A2,A2,16,26,5,5,5
9,PROF. CLEMENTE RIVERA MOCTEZUMA - 28DPR2461Z,60.8,71.3125,70.27,44.14,37.5,40.82,A2 -,A1 +,A1,A1,A1,18,28,4,3,3
10,JUSTO SIERRA - 28DPR1454J,59.13,70.85714285714286,73.14,30.36,36.43,33.39,A2 -,A1 +,A1,A1,A1,18,29,2,3,3
11,ALVARO OBREGON - 28DPR2021C,59.03,73.26666666666667,66.83,37.29,36.67,36.98,A2 -,A1 +,A1,A1,A1,18,27,3,3,3
12,ARTEMIO VILLAFAÑA PADILLA - 28DPR2182P,58.54,64.29629629629629,64.94,48.92,43.83,46.37,A1 +,A1 +,A1,A1,A1,16,26,4,4,4
13,FRANCISCO I. MADERO - 28DPR1094O,56.38,65.81132075471699,64.76,38.44,38.68,38.56,A1 +,A1 +,A1,A1,A1,16,26,3,3,3
14,NUEVO SANTANDER - 28DPR2377B,54.93,57.89473684210527,59.08,46.27,49.34,47.81,A1 +,A1,A1,A1,A1,14,24,4,4,4
15,GRAL. CESAR LOPEZ DE LARA - 28DPR1817B,54.7,69.35064935064935,61.72,32.95,33.12,33.04,A2 -,A1 +,A1,A1,A1,17,25,3,3,3
16,MARTIRES DE LA REVOLUCION - 28DPR0834L,53.87,56.53932584269663,62.58,40.17,44.8,42.49,A1 +,A1 +,A1,A1,A1,14,25,3,4,3
17,MIGUEL HIDALGO - 28DPR1340H,53.0,71.55555555555556,77.36,15.28,4.86,10.07,A2 -,A2 -,A1,Pre - A1,A1,18,31,1,0,1
18,PROFA. JUANA MARIA CABRERA SALINAS - 28DPR2334D,52.72,60.84615384615385,64.38,31.49,34.38,32.93,A1 +,A1 +,A1,A1,A1,15,26,3,3,3
19,MARTIRES DE LA REVOLUCION - 28DPR1066S,50.78,56.00000000000001,61.2,35.14,35.14,35.14,A1 +,A1,A1,A1,A1,14,24,3,3,3
20,20 DE NOVIEMBRE - 28DPR2562Y,48.82,57.46666666666667,68.17,17.5,24.17,20.83,A1 +,A1 +,A1,A1,A1,14,27,1,2,2
21,NIÑOS HEROES - 28DPR1344D,48.19,69.23076923076923,63.01,12.5,12.18,12.34,A2 -,A1 +,A1,A1,A1,17,25,1,1,1
22,DR. NORBERTO TREVIÑO ZAPATA - 28DPR1045F,46.21,57.357142857142854,72.68,10.71,6.47,8.59,A1 +,A1 +,A1,A1,A1,14,29,1,1,1
23,DIANA LAURA RIOJAS DE COLOSIO - 28DPR2310U,35.82,49.793103448275865,52.07,4.53,6.68,5.6,A1,A1,Pre - A1,A1,Pre - A1,12,21,0,1,0
