Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,198,Masculino
speak 1,A1,186,Masculino
speak 1,A2,104,Masculino
speak 2,Pre - A1,224,Masculino
speak 2,A1,167,Masculino
speak 2,A2,97,Masculino
reading,Pre - A1,22,Masculino
reading,A1 -,32,Masculino
reading,A1,78,Masculino
reading,A1 +,73,Masculino
reading,A2 -,114,Masculino
reading,A2,109,Masculino
reading,A2 +,58,Masculino
listening,Pre - A1,6,Masculino
listening,A1 -,52,Masculino
listening,A1,90,Masculino
listening,A1 +,127,Masculino
listening,A2 -,68,Masculino
listening,A2,101,Masculino
listening,A2 +,42,Masculino
speak 1,Pre - A1,196,Femenino
speak 1,A1,209,Femenino
speak 1,A2,127,Femenino
speak 2,Pre - A1,196,Femenino
speak 2,A1,208,Femenino
speak 2,A2,128,Femenino
reading,Pre - A1,11,Femenino
reading,A1 -,6,Femenino
reading,A1,50,Femenino
reading,A1 +,73,Femenino
reading,A2 -,123,Femenino
reading,A2,171,Femenino
reading,A2 +,98,Femenino
listening,Pre - A1,6,Femenino
listening,A1 -,28,Femenino
listening,A1,76,Femenino
listening,A1 +,150,Femenino
listening,A2 -,87,Femenino
listening,A2,116,Femenino
listening,A2 +,69,Femenino
