Porcentaje de error de revisores,Frecuencia
0.0,227
1.25,116
2.0,112
2.5,97
3.25,73
4.5,47
3.75,45
4.0,42
5.25,33
6.5,29
5.75,25
5.0,16
6.0,16
7.0,14
7.25,13
10.0,11
10.5,10
6.25,10
8.0,10
3.0,10
8.5,9
1.0,9
9.0,9
9.25,8
14.5,7
7.5,7
14.0,7
9.5,6
7.75,6
12.5,6
59.25,6
36.0,5
20.0,5
58.5,5
8.25,5
11.0,5
16.25,5
13.25,5
46.25,5
30.0,4
53.25,4
48.0,4
25.75,4
13.75,4
26.5,4
31.0,4
45.0,4
71.25,4
11.25,4
28.0,4
2.62,4
52.5,4
11.75,4
15.5,4
13.0,4
54.0,3
53.75,3
3.5,3
38.0,3
68.0,3
45.75,3
17.25,3
59.75,3
47.5,3
39.0,3
33.0,3
33.5,3
39.5,3
17.5,3
37.0,3
58.25,3
33.25,3
55.0,3
15.0,3
25.25,3
43.75,3
15.25,3
12.0,3
55.75,3
12.25,3
13.5,3
64.75,3
20.25,3
19.25,3
60.0,3
66.0,3
23.5,3
20.5,3
57.25,3
8.75,3
12.75,3
1.88,3
59.0,3
36.5,3
28.5,3
35.75,3
48.75,3
56.75,3
21.5,3
18.5,3
63.0,2
23.0,2
18.75,2
21.75,2
57.75,2
22.5,2
68.75,2
16.0,2
46.75,2
34.25,2
23.25,2
32.5,2
27.0,2
54.75,2
56.5,2
18.25,2
42.75,2
40.75,2
9.75,2
47.0,2
56.0,2
32.75,2
62.75,2
19.0,2
50.5,2
17.0,2
45.25,2
51.0,2
29.0,2
61.5,2
31.75,2
38.75,2
49.25,2
5.5,2
44.0,2
47.75,2
49.75,2
20.75,2
26.75,2
23.75,2
52.0,2
46.0,2
30.25,2
47.25,2
43.25,2
17.75,2
38.5,2
46.5,2
51.25,2
29.25,2
34.75,2
45.5,2
58.0,2
42.5,2
76.5,2
42.25,2
4.62,2
35.25,2
25.5,2
72.25,2
14.75,2
5.62,2
37.25,2
2.25,2
36.25,2
5.12,2
0.62,2
61.0,2
56.25,2
16.5,2
63.25,2
24.75,1
21.25,1
37.5,1
65.25,1
3.12,1
52.75,1
49.0,1
36.75,1
73.5,1
6.62,1
54.25,1
75.25,1
51.5,1
60.75,1
43.5,1
57.0,1
65.75,1
50.75,1
48.25,1
35.5,1
10.75,1
22.75,1
31.25,1
19.5,1
80.0,1
72.5,1
44.25,1
41.75,1
63.75,1
30.75,1
22.25,1
61.75,1
22.0,1
44.5,1
55.5,1
53.0,1
6.75,1
2.88,1
67.25,1
1.62,1
59.5,1
21.0,1
28.75,1
71.5,1
15.75,1
52.25,1
24.5,1
4.25,1
11.5,1
50.25,1
62.5,1
18.0,1
43.0,1
19.75,1
34.0,1
65.5,1
62.25,1
24.0,1
60.5,1
4.75,1
66.75,1
40.0,1
50.0,1
40.5,1
58.75,1
64.25,1
62.0,1
33.75,1
41.25,1
61.25,1
17.62,1
31.5,1
16.75,1
26.0,1
32.0,1
69.5,1
51.75,1
9.38,1
10.25,1
